"","region","year","est","lwr","upr","log_est","se","type"
"161","NJ",1976,66909.9494294721,10774.9938523992,415493.632198932,11.1111029559773,0.931710799766086,"index"
"162","NJ",1977,32808.7259446251,3003.31838425638,358407.721190051,10.3984497938883,1.21990849236071,"index"
"163","NJ",1978,90387.8862487185,10224.971611116,799021.287416519,11.4118655357278,1.11189662076929,"index"
"164","NJ",1979,40938.5292888144,2360.61863312966,709967.78421136,10.6198269349944,1.45571447289273,"index"
"165","NJ",1980,44538.8839560495,4235.06047593981,468402.327504008,10.7041178833813,1.20051440481765,"index"
"166","NJ",1981,25639.1214636086,2119.37121857223,310169.612413878,10.1518746461577,1.27196210601942,"index"
"167","NJ",1982,25367.1440649966,1934.32628158831,332669.831423635,10.1412100749125,1.31313418270247,"index"
"168","NJ",1983,17785.9559669489,1867.09550843218,169429.056108585,9.78616443424241,1.15003395658904,"index"
"169","NJ",1984,8496.44012635568,502.826771235137,143567.325668483,9.04740254608953,1.44245345771092,"index"
"170","NJ",1985,8673.25830544732,230.680655987082,326101.940845978,9.06799981295136,1.85052660615551,"index"
"171","NJ",1986,8091.77524387592,204.618021803562,319995.404218415,8.99860342280006,1.87628880890801,"index"
"172","NJ",1987,8472.2245468565,225.995461111943,317610.753858475,9.04454839151646,1.84903064781151,"index"
"173","NJ",1988,13068.8433819503,416.093282166419,410472.06158362,9.47798630858998,1.7587449895401,"index"
"174","NJ",1989,37400.3371759145,2955.65813714573,473256.769209072,10.5294349987608,1.29490051546445,"index"
"175","NJ",1990,25602.8642862515,1316.51638532732,497909.989549607,10.1504595103906,1.51416817289132,"index"
"176","NJ",1991,19808.6362534743,1742.83395691944,225140.248538657,9.89387329600411,1.24012764367394,"index"
"177","NJ",1992,29809.7126953665,3137.04077727705,283266.630582856,10.3025895487648,1.14877332420664,"index"
"178","NJ",1993,26380.6161087684,3985.22230787762,174629.381377933,10.1803847811452,0.964322008066335,"index"
"179","NJ",1994,70602.8449892824,14265.7586542568,349421.425203575,11.164825719968,0.815937582239138,"index"
"180","NJ",1995,77978.0260001955,12553.5623636535,484370.281737106,11.2641823480356,0.931865383488415,"index"
"181","NJ",1996,20707.9872861575,3140.99290105695,136523.943527336,9.93827476406359,0.962252643157726,"index"
"182","NJ",1997,14448.8410409114,2115.63039663802,98679.3382044816,9.57836948554278,0.980253409629951,"index"
"183","NJ",1998,6406.09512095925,605.722667367007,67750.56789135,8.76500517878806,1.2033807563216,"index"
"184","NJ",1999,5000.38787093407,392.876721415404,63643.0653608185,8.51727076259433,1.29786817817351,"index"
"185","NJ",2000,7037.25965538234,418.267006619179,118400.501769343,8.85897411987645,1.4402581586854,"index"
"186","NJ",2001,26246.7689558286,2501.53288463894,275388.296852264,10.1752981730469,1.19932775029469,"index"
"187","NJ",2002,189415.780983856,33513.7610424973,1070555.40678434,12.1516997771916,0.883683771741781,"index"
"188","NJ",2003,42169.6705596965,3638.03193476348,488803.052584788,10.6494565345141,1.25015480727815,"index"
"189","NJ",2004,17888.8485651222,2026.91588051761,157880.702431594,9.79193281250424,1.11107254193876,"index"
"190","NJ",2005,10954.6618452567,1026.72831825857,116880.594418066,9.30152038393624,1.20787308688398,"index"
"191","NJ",2006,43035.492620265,8160.54123908447,226952.302648576,10.669780463986,0.848339409817513,"index"
"192","NJ",2007,95783.0920163059,38435.6337389745,238695.185267652,11.4698414558594,0.465876512438021,"index"
"193","NJ",2008,100974.677019968,28204.621586062,361496.975528487,11.5226250418127,0.650718034792377,"index"
"194","NJ",2009,78003.3541574684,21167.0979475399,287451.934832787,11.264507106766,0.665473368681647,"index"
"195","NJ",2010,60029.0638330479,11410.9021301387,315793.480968919,11.0025841211392,0.847086798347805,"index"
"196","NJ",2011,154487.917312048,39802.6274094909,599621.636779769,11.9478711671617,0.691942797649186,"index"
"197","NJ",2012,300000.081833588,102947.380115148,874233.506471886,12.6115380264169,0.545706334835802,"index"
"198","NJ",2013,94470.6435434374,27200.2494919719,328111.052589622,11.456044414886,0.635247892290848,"index"
"199","NJ",2014,82730.9111512606,26144.5604096005,261790.734006928,11.3233485856768,0.587741490066939,"index"
"200","NJ",2015,54536.2596148514,16349.7257368874,181911.529321145,10.906621073462,0.614631024489121,"index"
"201","NJ",2016,242477.486309264,103579.167769945,567636.645792006,12.398664145088,0.433973606918961,"index"
"202","NJ",2017,213303.716879851,72236.1300262858,629857.601981214,12.2704723299047,0.552447250487402,"index"
"203","NJ",2018,192053.038338272,60995.5390420715,604706.018083071,12.1655268542075,0.585199959402921,"index"
"204","NJ",2019,806864.629068759,280597.312425452,2320159.53401276,13.6009111872936,0.538905473251956,"index"
"205","NJ",2020,169244.485985539,48240.8661235332,593764.132740894,12.0390996111333,0.640388208827203,"index"
"206","NJ",2021,1289003.99436719,483418.428442366,3437045.83800874,14.0693803807274,0.5003880272214,"index"
"207","NJ",2022,1181481.60691788,427332.381771304,3266541.09781999,13.9822798079195,0.518867905172343,"index"
"208","NJ",2023,120739.919440127,28754.8191952173,506980.344666299,11.7013940851324,0.732071323805238,"index"
"209","NYCTRI",1972,7437.42172021087,886.924614614839,62367.4672376591,8.91427952478483,1.08497888329634,"index"
"210","NYCTRI",1973,4004.96188925223,262.232739363264,61165.9694869121,8.29528934366498,1.39087092290847,"index"
"211","NYCTRI",1974,3088.44267167891,175.92896923423,54217.7799242813,8.03542225309834,1.4619360080185,"index"
"212","NYCTRI",1975,3530.66935845447,344.077588516917,36229.1138241814,8.16924275191052,1.18796854958606,"index"
"213","NYCTRI",1976,5306.03676347678,614.677853902635,45802.8965198846,8.57660046333497,1.09976620211501,"index"
"214","NYCTRI",1977,2577.84551581585,147.468332506396,45062.471314807,7.85470925766011,1.45976957860978,"index"
"215","NYCTRI",1978,2755.18437435735,146.063924097742,51970.6764253655,7.92123964288942,1.49859655783766,"index"
"216","NYCTRI",1979,2876.12305885954,93.0593380738066,88890.422185712,7.96419850612428,1.75052256046185,"index"
"217","NYCTRI",1980,2966.76435127278,81.1923094701009,108405.473048211,7.99522719390535,1.8359555025328,"index"
"218","NYCTRI",1981,4187.13810041816,177.110433845748,98989.7946229569,8.33977274861783,1.61380480229129,"index"
"219","NYCTRI",1982,3486.40496871032,65.0803444055743,186769.441939322,8.15662638935866,2.03116171847516,"index"
"220","NYCTRI",1983,3856.10754022221,40.4522647038137,367583.013476048,8.25741354440332,2.32519115181711,"index"
"221","NYCTRI",1984,2000.11847139209,20.5394099576352,194770.634008242,7.60096169348376,2.33607160744492,"index"
"222","NYCTRI",1985,1969.47690951588,29.1604629058261,133017.068681076,7.58552325830866,2.14938106507983,"index"
"223","NYCTRI",1986,2200.38295441399,45.4895987896011,106434.993381002,7.69638669438613,1.979068504926,"index"
