Year,State,NMFS.Name,Pounds,Metric.Tons,Dollars,Confidentiality,Collection,Scientific.Name,Tsn,Source
2017,NEW YORK,MENHADENS **,1634042,741,232278,Public,Commercial,Brevoortia ,161731,ACCSP
2017,NORTH CAROLINA,MENHADENS **,752799,341,160181,Public,Commercial,Brevoortia ,161731,ACCSP
2017,RHODE ISLAND,MENHADENS **,1752756,795,136893,Public,Commercial,Brevoortia ,161731,ACCSP
2017,VIRGINIA,MENHADENS **,284226224,128924,22865271,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2016,CONNECTICUT,MENHADENS **,66992,30,11596,Public,Commercial,Brevoortia ,161731,ACCSP
2016,MAINE,MENHADENS **,4372166,1983,1230783,Public,Commercial,Brevoortia ,161731,ACCSP
2016,MARYLAND,MENHADENS **,6473115,2936,1035094,Public,Commercial,Brevoortia ,161731,ACCSP
2016,MASSACHUSETTS,MENHADENS **,3063055,1389,374367,Public,Commercial,Brevoortia ,161731,ACCSP
2016,NEW JERSEY,MENHADENS **,52817109,23958,8607178,Public,Commercial,Brevoortia ,161731,ACCSP
2016,NEW YORK,MENHADENS **,1637913,743,194075,Public,Commercial,Brevoortia ,161731,ACCSP
2016,NORTH CAROLINA,MENHADENS **,398044,181,76863,Public,Commercial,Brevoortia ,161731,ACCSP
2016,RHODE ISLAND,MENHADENS **,317328,144,34832,Public,Commercial,Brevoortia ,161731,ACCSP
2016,VIRGINIA,MENHADENS **,302899356,137394,24235842,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2015,CONNECTICUT,MENHADENS **,81387,37,13828,Public,Commercial,Brevoortia ,161731,ACCSP
2015,MARYLAND,MENHADENS **,8785713,3985,1222197,Public,Commercial,Brevoortia ,161731,ACCSP
2015,MASSACHUSETTS,MENHADENS **,2928427,1328,233728,Public,Commercial,Brevoortia ,161731,ACCSP
2015,NEW JERSEY,MENHADENS **,72106979,32708,10687188,Public,Commercial,Brevoortia ,161731,ACCSP
2015,NEW YORK,MENHADENS **,1407002,638,194828,Public,Commercial,Brevoortia ,161731,ACCSP
2015,NORTH CAROLINA,MENHADENS **,898322,407,154385,Public,Commercial,Brevoortia ,161731,ACCSP
2015,RHODE ISLAND,MENHADENS **,2060381,935,183467,Public,Commercial,Brevoortia ,161731,ACCSP
2015,SOUTH CAROLINA,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2015,VIRGINIA,MENHADENS **,352854848,160054,28201992,Public,Commercial,Brevoortia ,161731,ACCSP
2014,CONNECTICUT,MENHADENS **,36552,17,6337,Public,Commercial,Brevoortia ,161731,ACCSP
2014,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2014,MARYLAND,MENHADENS **,8353684,3789,1379392,Public,Commercial,Brevoortia ,161731,ACCSP
2014,MASSACHUSETTS,MENHADENS **,2218570,1006,166036,Public,Commercial,Brevoortia ,161731,ACCSP
2014,NEW JERSEY,MENHADENS **,43881091,19904,5774334,Public,Commercial,Brevoortia ,161731,ACCSP
2014,NEW YORK,MENHADENS **,768538,349,113033,Public,Commercial,Brevoortia ,161731,ACCSP
2014,NORTH CAROLINA,MENHADENS **,917905,416,148678,Public,Commercial,Brevoortia ,161731,ACCSP
2014,RHODE ISLAND,MENHADENS **,500903,227,62767,Public,Commercial,Brevoortia ,161731,ACCSP
2014,VIRGINIA,MENHADENS **,326817181,148243,26045630,Public,Commercial,Brevoortia ,161731,ACCSP
2013,CONNECTICUT,MENHADENS **,6703,3,3934,Public,Commercial,Brevoortia ,161731,ACCSP
2013,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2013,MARYLAND,MENHADENS **,7682317,3485,903449,Public,Commercial,Brevoortia ,161731,ACCSP
2013,MASSACHUSETTS,MENHADENS **,2301539,1044,177968,Public,Commercial,Brevoortia ,161731,ACCSP
2013,NEW YORK,MENHADENS **,1141133,518,117228,Public,Commercial,Brevoortia ,161731,ACCSP
2013,NORTH CAROLINA,MENHADENS **,454206,206,74991,Public,Commercial,Brevoortia ,161731,ACCSP
2013,RHODE ISLAND,MENHADENS **,99821,45,17732,Public,Commercial,Brevoortia ,161731,ACCSP
2013,VIRGINIA,MENHADENS **,317949684,144221,25342950,Public,Commercial,Brevoortia ,161731,ACCSP
2012,CONNECTICUT,MENHADENS **,37454,17,9513,Public,Commercial,Brevoortia ,161731,ACCSP
2012,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2012,MARYLAND,MENHADENS **,16371030,7426,1667547,Public,Commercial,Brevoortia ,161731,ACCSP
2012,MASSACHUSETTS,MENHADENS **,1629204,739,189485,Public,Commercial,Brevoortia ,161731,ACCSP
2012,NEW YORK,MENHADENS **,218695,99,22651,Public,Commercial,Brevoortia ,161731,ACCSP
2012,NORTH CAROLINA,MENHADENS **,538792,244,82363,Public,Commercial,Brevoortia ,161731,ACCSP
2012,RHODE ISLAND,MENHADENS **,106606,48,18300,Public,Commercial,Brevoortia ,161731,ACCSP
2012,VIRGINIA,MENHADENS **,390317699,177047,31106848,Public,Commercial,Brevoortia ,161731,ACCSP
2011,CONNECTICUT,MENHADENS **,26929,12,7305,Public,Commercial,Brevoortia ,161731,ACCSP
2011,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2011,MAINE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2011,MARYLAND,MENHADENS **,7981573,3620,681905,Public,Commercial,Brevoortia ,161731,ACCSP
2011,MASSACHUSETTS,MENHADENS **,86641,39,87977,Public,Commercial,Brevoortia ,161731,ACCSP
2011,NEW YORK,MENHADENS **,201405,91,32962,Public,Commercial,Brevoortia ,161731,ACCSP
2011,NORTH CAROLINA,MENHADENS **,3530003,1601,328746,Public,Commercial,Brevoortia ,161731,ACCSP
2011,RHODE ISLAND,MENHADENS **,83899,38,14214,Public,Commercial,Brevoortia ,161731,ACCSP
2011,VIRGINIA,MENHADENS **,414158627,187861,32995188,Public,Commercial,Brevoortia ,161731,ACCSP
2010,CONNECTICUT,MENHADENS **,42489,19,9318,Public,Commercial,Brevoortia ,161731,ACCSP
2010,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2010,MAINE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2010,MARYLAND,MENHADENS **,15461410,7013,728569,Public,Commercial,Brevoortia ,161731,ACCSP
2010,MASSACHUSETTS,MENHADENS **,4948437,2245,602219,Public,Commercial,Brevoortia ,161731,ACCSP
2010,NEW YORK,MENHADENS **,318266,144,57841,Public,Commercial,Brevoortia ,161731,ACCSP
2010,NORTH CAROLINA,MENHADENS **,1299150,589,105479,Public,Commercial,Brevoortia ,161731,ACCSP
2010,RHODE ISLAND,MENHADENS **,78149,35,18357,Public,Commercial,Brevoortia ,161731,ACCSP
2010,VIRGINIA,MENHADENS **,433240774,196517,34476160,Public,Commercial,Brevoortia ,161731,ACCSP
2009,CONNECTICUT,MENHADENS **,170907,78,26884,Public,Commercial,Brevoortia ,161731,ACCSP
