,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2016,MAINE,MENHADENS **,"4,372,166","1,983","1,230,783",Public,Commercial,Brevoortia ,161731,ACCSP
2016,MARYLAND,MENHADENS **,"6,473,115","2,936","1,035,094",Public,Commercial,Brevoortia ,161731,ACCSP
2016,MASSACHUSETTS,MENHADENS **,"3,063,055","1,389","374,367",Public,Commercial,Brevoortia ,161731,ACCSP
2016,NEW JERSEY,MENHADENS **,"52,817,109","23,958","8,607,178",Public,Commercial,Brevoortia ,161731,ACCSP
2016,NEW YORK,MENHADENS **,"1,637,913",743,"194,075",Public,Commercial,Brevoortia ,161731,ACCSP
2016,NORTH CAROLINA,MENHADENS **,"398,044",181,"76,863",Public,Commercial,Brevoortia ,161731,ACCSP
2016,RHODE ISLAND,MENHADENS **,"317,328",144,"34,832",Public,Commercial,Brevoortia ,161731,ACCSP
2016,VIRGINIA,MENHADENS **,"302,899,356","137,394","24,235,842",Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2015,CONNECTICUT,MENHADENS **,"81,387",37,"13,828",Public,Commercial,Brevoortia ,161731,ACCSP
2015,MARYLAND,MENHADENS **,"8,785,713","3,985","1,222,197",Public,Commercial,Brevoortia ,161731,ACCSP
2015,MASSACHUSETTS,MENHADENS **,"2,928,427","1,328","233,728",Public,Commercial,Brevoortia ,161731,ACCSP
2015,NEW JERSEY,MENHADENS **,"72,106,979","32,708","10,687,188",Public,Commercial,Brevoortia ,161731,ACCSP
2015,NEW YORK,MENHADENS **,"1,407,002",638,"194,828",Public,Commercial,Brevoortia ,161731,ACCSP
2015,NORTH CAROLINA,MENHADENS **,"898,322",407,"154,385",Public,Commercial,Brevoortia ,161731,ACCSP
2015,RHODE ISLAND,MENHADENS **,"2,060,381",935,"183,467",Public,Commercial,Brevoortia ,161731,ACCSP
2015,SOUTH CAROLINA,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2015,VIRGINIA,MENHADENS **,"352,854,848","160,054","28,201,992",Public,Commercial,Brevoortia ,161731,ACCSP
2014,CONNECTICUT,MENHADENS **,"36,552",17,"6,337",Public,Commercial,Brevoortia ,161731,ACCSP
